station,longitude,latitude,depth
0,144.6525,13.44,20.0
1,140.05,21.0,1500.0
-1000,140.17,21.1,0.0
-1001,137.61,25.17,0.0
2,137.08,26.67,1500.0
-1002,134.66,29.48,0.0
3,133.0297,32.5068,163.42279205001208
4,133.291,32.4131,961.6505199999878
5,133.3732,32.2423,1224.1072435564208
6,133.45150124423674,32.0614,2203.6118708879053
7,133.5805,31.8805,3058.584941992027
8,133.6466,31.8068,4239.86169600001
9,133.7585,31.6349,4904.837559999988
10,134.0940269678392,31.08993333333333,4498.271472797269
11,134.4548885191083,30.544966666666667,4545.77831068574
12,134.8604,30.0,4683.665270507678
13,135.6296217772276,30.0,4191.712347921049
14,136.39884355445523,30.0,4144.351356131934
15,137.16806533168284,30.0,4347.846237821363
16,137.93728710891045,30.0,4020.8056633657225
17,138.3648333,30.0,3660.510131999977
18,138.795,30.0,2375.25
19,139.66037449938108,30.0,2300.942756498643
20,140.52574899876217,30.0,2484.183898986888
21,141.39112349814326,30.0,3940.184819777189
22,142.25649799752435,30.0,5861.0791209322015
23,143.1771667,30.0,6027.090036000006
24,143.85023575507415,30.0,5335.186495562066
25,144.52330481014832,30.0,5860.796577217798
-1003,144.67,30.0,0.0
26,145.19637386522248,30.0,5882.091244765872
27,145.86944292029665,30.0,6181.833699128799
28,146.5425119753708,30.0,6199.277155566743
29,147.21558103044498,30.0,6224.746545667465
30,147.88865008551917,30.0,6095.744389967361
31,148.5617191405933,30.0,6152.187781227204
32,149.23478819566748,30.0,6187.490207379356
33,149.90785725074164,30.0,6100.555315376421
34,150.5809263058158,30.0,6114.890469618813
35,151.25399536088997,30.0,6051.882597268809
36,151.92706441596414,30.0,6006.501135042151
37,152.6001334710383,30.0,5936.112115672181
38,153.27320252611247,30.0,5856.017151566748
39,153.94627158118664,30.0,5873.361653840772
40,154.6193406362608,30.0,5806.364045608762
41,155.29240969133497,30.0,5825.241255559704
42,155.96547874640913,30.0,5805.822348707286
43,156.6385478014833,30.0,5809.371319110031
44,157.31161685655746,30.0,5262.037919511124
45,157.98468591163163,30.0,5735.188453021014
46,158.6577549667058,30.0,5820.9029800234775
47,159.33082402177996,30.0,5754.67332392039
48,159.9119137,30.0,5702.937152000018
49,160.48883,30.0,5772.005600000034
50,161.0657463,30.0,5917.209334000003
51,161.6426627,30.0,5991.380476000003
52,162.219579,30.0,6018.896620000009
53,162.7964953,30.0,6031.62035799998
54,163.3734117,30.0,6008.160893999997
55,163.950328,30.0,5972.748919999995
56,164.5272443,30.0,5899.460259999994
57,165.1041607,30.0,5866.366050000005
58,165.681077,30.0,5985.769879999984
59,166.2579933,30.0,5917.4005779999925
60,166.8349097,30.0,6134.148295999982
61,167.411826,30.0,6021.75
62,167.9887423,30.0,5892.520789999917
63,168.5656587,30.0,5873.467830000015
64,169.142575,30.0,5740.75
65,169.7194913,30.0,5692.027610000004
66,170.2964077,30.0,5586.590537999999
67,170.873324,30.0,5611.133399999979
68,171.4502403,30.0,5401.826984000019
69,172.0271567,30.0,5136.794020000001
70,172.604073,30.0,5616.664339999997
71,173.1809893,30.0,5257.688791999929
72,173.3401667,30.0,4432.115301167945
73,173.7182517142857,30.0,2222.6989942857213
74,173.979,30.0,4586.95776855467
75,174.5559163,30.0,5375.5
76,175.1328327,30.0,5297.620152000007
77,175.709749,30.0,5181.799699999994
78,176.2866653,30.0,5220.003279999964
79,176.8635817,30.0,5200.519216000008
80,177.440498,30.0,5252.566959999967
81,178.0174143,30.0,5338.8790111113285
82,178.5943307,30.0,4915.727369999999
83,179.171247,30.0,4491.347480000007
84,179.7481633,30.0,5374.09035400002
85,180.3250797,30.0,5370.385231999979
86,180.901996,30.0,5461.108519999989
87,181.4789123,30.0,5054.083666000005
88,182.0558287,30.0,5229.275536000002
89,182.632745,30.0,5373.038200000003
90,183.2096613,30.0,5415.340644000002
91,183.7865777,30.0,5304.5123659999945
92,184.363494,30.0,5303.5
93,184.9404103,30.0,5347.50191
94,185.5173267,30.0,5388.756193999999
95,186.094243,30.0,3581.937103681774
96,186.6711593,30.0,5422.309529999992
97,187.2480757,30.0,5261.627863999918
98,187.824992,30.0,5432.251919999995
99,188.4019083,30.0,5407.134477999999
100,188.9788247,30.0,5292.806171999998
101,189.555741,30.0,5408.56108
102,190.1326573,30.0,5449.501726000057
103,190.7095737,30.0,5483.702312000004
104,191.28649,30.0,5417.022400000029
105,191.8634063,30.0,5603.603109999998
106,192.4403227,30.0,5566.661276
107,193.017239,30.0,5527.8709200000485
108,193.5941553,30.0,5490.357053999967
109,194.1710717,30.0,5569.654174000028
110,194.747988,30.0,5374.017119999998
111,195.3249043,30.0,5535.021222457033
112,195.9018207,30.0,5705.601894970705
113,196.478737,30.0,5766.129197832034
114,197.0556533,30.0,5764.082749140644
115,197.6325696,30.0,5685.405948218737
116,198.209486,30.0,5742.771069218733
117,198.7864023,30.0,5735.734492576175
118,199.3633186,30.0,5643.332115902394
119,199.940235,30.0,5828.629200585937
0,202.1275,21.3094,20.0
0,202.1275,21.3094,20.0
120,201.0738,25.6588,1500.0
121,199.940235,30.0,5828.629200585937
122,199.426,30.0,5702.169853515629
123,200.003,30.0,5821.490161132816
124,200.579,30.0,5690.480000000016
125,201.155,30.0,5802.673095703125
126,201.731,30.0,5720.329853515624
127,202.308,30.0,5782.752485351553
128,202.884,30.0,5905.769135742188
129,203.46,30.0,5879.732080078125
130,204.037,30.0,5965.940000000035
131,204.613,30.0,5942.0062158203145
132,205.189,30.0,5681.309999999989
133,205.765,30.0,5624.4196289060765
134,206.342,30.0,5405.935258789034
135,206.918,30.0,5362.258818359379
136,207.494,30.0,5406.219267578126
137,208.07,30.0,5452.343212890625
138,208.647,30.0,5344.940766601666
139,209.223,30.0,5748.047509765517
140,209.799,30.0,6116.8189062499705
141,210.376,30.0,5615.867973632789
142,210.952,30.0,5898.439755859345
143,211.528,30.0,4275.474287109435
144,212.104,30.0,5139.457534179748
145,212.681,30.0,4887.8753173828
146,213.257,30.0,5087.398056640633
147,213.833,30.0,4965.91015625
148,214.409,30.0,5075.644321289057
149,214.986,30.0,5213.7969824218735
150,215.562,30.0,5231.488837890584
151,216.138,30.0,5206.472934570312
152,216.714,30.0,5081.708925781283
153,217.291,30.0,5036.5801708984345
154,217.867,30.0,4889.484365234461
155,218.443,30.0,4776.853364257999
156,219.02,30.0,4945.783178710937
157,219.596,30.0,4527.925869140694
158,220.172,30.0,4501.101645507531
159,220.748,30.0,4888.325590820315
160,221.325,30.0,4776.268310546884
161,221.901,30.0,4653.689794921874
162,222.477,30.0,4541.809902343844
163,223.053,30.0,3688.751279296758
164,223.63,30.0,4466.665747070312
165,224.206,30.0,4692.241030273577
166,224.782,30.0,4870.182294921842
167,225.359,30.0,4757.841489257937
168,225.935,30.0,4614.791235351562
169,226.511,30.0,4590.104609375003
170,227.087,30.0,4632.280000000078
171,227.664,30.0,4641.688754882755
172,228.24,30.0,4673.1
173,228.816,30.0,5252.743828125
174,229.392,30.0,4484.767333984517
175,229.969,30.0,4635.602573242161
176,230.545,30.0,4672.8621826171875
177,231.121,30.0,4617.924501953046
178,231.697,30.0,4608.748437500018
179,232.274,30.0,4491.872094726551
180,232.85,30.0,4506.747314453125
181,233.426,30.0,4260.5632421875025
182,234.003,30.0,4207.906606445532
183,234.579,30.0,4429.966933593848
184,235.155,30.0,3910.404736328125
185,235.731,30.0,4637.44854003909
186,236.308,30.0,4446.200000000041
187,236.913,30.0,4143.809999999899
188,237.382,30.252,3881.8626683597213
189,237.853,30.497,4082.4492000000873
190,238.323,30.74,4227.384999999895
191,238.778,31.0,3895.3149999999773
192,239.248,31.248,4033.9616000000256
193,239.713,31.503,3942.010799999974
194,240.185,31.75,3716.15
195,240.34,31.834,3346.7020000000175
196,240.495,31.918,2364.9580000000155
197,240.65,32.002,1800.38999999998
198,240.949,32.159,1550.8397595214917
199,241.247,32.316,1504.8360519043388
200,241.547,32.474,1142.597038867192
201,241.845,32.631,2034.8520000000078
202,242.175,32.643,717.6917694092457
203,242.477,32.638,1170.839999999991
204,242.616,32.643,259.305338415511
0,242.8828,32.7355,20.0
